Title,Label,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7
Karen_Beemon,human,23.375,7.6333385319175475,3.875,79.47238095238096,0.9057668711656442,83.9979674796748,27.56
Karen_Beemon,ai,18.0,9.143303560529969,2.3636363636363638,23.026,0.8752662721893484,56.291666666666664,5.67
Charles_Luckman,human,19.545454545454547,10.424621205239415,3.5454545454545454,86.64604651162792,0.8449999999999996,73.38239052060192,22.69
Charles_Luckman,ai,16.6,7.73448267321236,2.8,18.65042168674699,0.8674999999999994,63.35878383501403,5.68
Sexhow_railway_station,human,18.666666666666668,8.717797887081348,2.3333333333333335,33.394999999999996,0.7977304964539005,33.63517278977497,38.88
Sexhow_railway_station,ai,15.6,5.176871642217914,1.6,15.958461538461542,0.8150000000000003,33.74252737496301,33.08
George_Burton_Rigg,human,21.8,6.4944420682440285,3.0,44.04454545454546,0.853259668508288,55.75609110169491,17.51
George_Burton_Rigg,ai,15.583333333333334,3.964807305493795,3.0,17.23236363636364,0.8607999999999995,58.893166506256016,8.42
Tansar,human,27.0,10.042765697612529,8.125,44.620000000000005,0.848865979381444,54.71015424164524,27.64
Tansar,ai,16.5,3.146426544510455,1.8333333333333333,21.593787878787882,0.8101333333333339,30.862694300518136,10.79
P6,human,172.0,0.0,47.0,6.794924242424244,0.8632624113475185,45.41403785488959,61.67
P6,ai,46.0,0.0,13.0,3.8930212765957464,0.730909090909091,20.362385321100916,29.98
En_attendant_Cousteau,human,21.571428571428573,8.403514004215594,3.0,21.48184210526316,0.8970967741935487,82.99225491228657,39.94
En_attendant_Cousteau,ai,18.0,6.48074069840786,3.5,18.280555555555555,0.8800000000000007,78.41647058823531,18.58
Gaius_Epidius_Marullus,human,18.75,11.221790027824056,2.25,60.76733333333334,0.8508800000000002,61.29835670923174,30.38
Gaius_Epidius_Marullus,ai,11.625,4.718883039751796,1.625,20.30844086021506,0.7549999999999992,27.839782756279703,7.3
Johnny_Test,human,18.9,9.982762921934766,3.7,76.72529100529101,0.8691823899371068,80.69858342077649,17.75
Johnny_Test,ai,24.5,13.71333495381614,4.4,25.106479591836734,0.91813953488372,92.413617704801,9.96
Seal_of_Mindaugas,human,20.846153846153847,7.935638536019579,2.6153846153846154,55.10739852398524,0.845689655172413,48.0,24.03
Seal_of_Mindaugas,ai,16.8,6.0332412515993425,4.5,22.823488372093028,0.7798561151079137,32.6,10.01
Cinema_of_Syria,human,17.2,5.101820403402243,3.8,53.86789575289575,0.8742105263157881,75.41901931649332,24.86
Cinema_of_Syria,ai,19.363636363636363,6.407382106176083,2.1818181818181817,32.431455399061036,0.8861375661375657,74.08269515361346,12.1
Cato_the_Elder,human,21.0,11.61895003862225,5.777777777777778,76.58263157894737,0.8610126582278482,79.02631578947368,31.01
Cato_the_Elder,ai,21.818181818181817,5.980270592844137,2.6363636363636362,26.660197095435688,0.8938388625592413,83.85895377617233,14.76
The_Border_Raiders,human,19.666666666666668,9.617692030835672,2.7777777777777777,35.494157303370784,0.8781578947368422,62.700547570157426,39.32
The_Border_Raiders,ai,13.8,3.8987177379235853,2.6,13.598333333333333,0.8961904761904771,76.23,22.49
Electro-hydraulic_actuator,human,28.166666666666668,17.034279164868313,3.3333333333333335,39.49872781065089,0.9202758620689647,127.21498808668358,27.71
Electro-hydraulic_actuator,ai,15.0,4.546060565661952,2.75,17.350000000000005,0.8988888888888893,91.63636363636364,15.26
Yung_Hurn,human,18.0,8.231038816577165,3.111111111111111,7.381851851851852,0.8905426356589151,100.66704545454544,50.29
Yung_Hurn,ai,12.545454545454545,3.0777796010642597,3.6363636363636362,16.886231884057974,0.8636190476190474,56.67233009708738,12.82
Da_Shu_coinage,human,38.25,12.148388096094616,1.25,60.73882352941176,0.8777952755905508,55.06515633178853,35.95
